date,time,window_id,student_id,quantity
2026-01-26,07:01,1,S175,1
2026-01-26,08:39,1,S154,2
2026-01-26,08:27,1,S095,1
2026-01-26,07:53,1,S135,4
2026-01-26,07:48,1,S111,2
2026-01-26,08:01,1,S156,1
2026-01-26,07:22,1,S196,1
2026-01-26,08:35,1,S049,2
2026-01-26,07:15,1,S069,2
2026-01-26,08:41,1,S008,2
2026-01-26,07:18,1,S178,2
2026-01-26,07:19,1,S182,1
2026-01-26,08:27,1,S106,1
2026-01-26,08:17,1,S052,1
2026-01-26,08:07,1,S177,3
2026-01-26,07:12,1,S124,2
2026-01-26,08:46,1,S153,1
2026-01-26,08:06,1,S107,1
2026-01-26,07:19,1,S137,1
2026-01-26,07:17,1,S014,1
2026-01-26,13:18,1,S156,2
2026-01-26,11:55,1,S073,2
2026-01-26,12:30,1,S015,3
2026-01-26,12:55,1,S103,1
2026-01-26,12:04,1,S046,1
2026-01-26,11:51,1,S070,2
2026-01-26,11:35,1,S066,2
2026-01-26,13:24,1,S195,1
2026-01-26,12:19,1,S032,2
2026-01-26,11:40,1,S170,1
2026-01-26,11:10,1,S142,1
2026-01-26,11:10,1,S116,1
2026-01-26,13:38,1,S076,1
2026-01-26,13:18,1,S068,1
2026-01-26,12:50,1,S053,1
2026-01-26,12:07,1,S074,2
2026-01-26,11:04,1,S079,1
2026-01-26,13:47,1,S113,1
2026-01-26,11:29,1,S074,3
2026-01-26,13:34,1,S014,1
2026-01-26,12:47,1,S031,1
2026-01-26,11:43,1,S008,2
2026-01-26,13:52,1,S011,1
2026-01-26,11:30,1,S075,1
2026-01-26,11:37,1,S024,1
2026-01-26,12:22,1,S035,1
2026-01-26,11:21,1,S120,3
2026-01-26,13:02,1,S095,2
2026-01-26,11:49,1,S001,2
2026-01-26,13:55,1,S052,3
2026-01-26,13:23,1,S131,2
2026-01-26,11:13,1,S034,1
2026-01-26,12:28,1,S010,3
2026-01-26,13:38,1,S080,1
2026-01-26,13:00,1,S036,2
2026-01-26,12:07,1,S078,3
2026-01-26,13:45,1,S124,1
2026-01-26,12:15,1,S052,1
2026-01-26,13:32,1,S023,1
2026-01-26,12:49,1,S158,1
2026-01-26,12:52,1,S186,2
2026-01-26,12:53,1,S126,3
2026-01-26,11:28,1,S182,1
2026-01-26,13:24,1,S052,1
2026-01-26,13:15,1,S123,1
2026-01-26,11:20,1,S098,1
2026-01-26,12:42,1,S046,1
2026-01-26,12:02,1,S152,1
2026-01-26,18:55,1,S113,3
2026-01-26,17:33,1,S045,1
2026-01-26,18:55,1,S150,1
2026-01-26,18:21,1,S029,2
2026-01-26,18:54,1,S094,1
2026-01-26,19:45,1,S178,4
2026-01-26,17:39,1,S162,4
2026-01-26,19:58,1,S059,1
2026-01-26,19:05,1,S032,1
2026-01-26,18:10,1,S012,1
2026-01-26,18:50,1,S092,1
2026-01-26,18:27,1,S136,1
2026-01-26,18:36,1,S049,2
2026-01-26,17:39,1,S069,1
2026-01-26,18:58,1,S072,1
2026-01-26,18:16,1,S120,1
2026-01-26,18:43,1,S100,3
2026-01-26,19:19,1,S072,1
2026-01-26,18:54,1,S124,1
2026-01-26,17:15,1,S078,1
2026-01-26,19:18,1,S169,4
2026-01-26,18:17,1,S176,1
2026-01-26,19:03,1,S074,2
2026-01-26,17:38,1,S052,2
2026-01-26,19:16,1,S169,1
2026-01-26,19:53,1,S025,2
2026-01-26,19:41,1,S113,1
2026-01-26,17:37,1,S078,2
2026-01-26,18:47,1,S178,2
2026-01-26,18:33,1,S048,1
2026-01-26,18:58,1,S078,1
2026-01-26,19:55,1,S025,2
2026-01-26,17:48,1,S186,1
2026-01-26,19:25,1,S094,1
2026-01-26,17:50,1,S040,1
2026-01-26,18:23,1,S192,1
2026-01-26,21:52,1,S068,2
2026-01-26,21:01,1,S084,1
2026-01-26,20:41,1,S119,1
2026-01-26,21:41,1,S013,1
2026-01-26,21:31,1,S061,2
2026-01-26,07:24,2,S176,1
2026-01-26,08:37,2,S093,1
2026-01-26,07:53,2,S058,1
2026-01-26,07:44,2,S052,3
2026-01-26,12:06,2,S153,3
2026-01-26,12:03,2,S027,1
2026-01-26,12:05,2,S142,2
2026-01-26,11:03,2,S029,2
2026-01-26,13:13,2,S196,1
2026-01-26,13:13,2,S060,1
2026-01-26,12:49,2,S153,1
2026-01-26,11:17,2,S029,1
2026-01-26,13:16,2,S010,3
2026-01-26,11:00,2,S151,3
2026-01-26,12:01,2,S014,2
2026-01-26,11:47,2,S020,1
2026-01-26,12:28,2,S025,1
2026-01-26,12:32,2,S158,2
2026-01-26,11:46,2,S134,3
2026-01-26,12:29,2,S111,3
2026-01-26,12:27,2,S097,2
2026-01-26,17:57,2,S156,2
2026-01-26,17:04,2,S160,1
2026-01-26,19:37,2,S142,1
2026-01-26,19:18,2,S024,3
2026-01-26,19:07,2,S185,2
2026-01-26,19:46,2,S051,1
2026-01-26,18:21,2,S174,1
2026-01-26,17:20,2,S082,2
2026-01-26,17:43,2,S200,1
2026-01-26,17:05,2,S096,1
2026-01-26,17:35,2,S144,1
2026-01-26,19:21,2,S157,2
2026-01-26,21:55,2,S061,2
2026-01-26,21:22,2,S130,1
2026-01-26,08:14,3,S158,2
2026-01-26,08:07,3,S126,2
2026-01-26,07:38,3,S069,2
2026-01-26,07:11,3,S196,1
2026-01-26,08:58,3,S045,1
2026-01-26,08:04,3,S163,1
2026-01-26,07:05,3,S125,1
2026-01-26,12:21,3,S080,1
2026-01-26,13:20,3,S027,4
2026-01-26,11:09,3,S159,1
2026-01-26,11:43,3,S114,3
